entity,complexity,domain,priority
LOCALLY_REFINED_SPLINE_CURVE,SIMPLE,geometry,185
LOCALLY_REFINED_SPLINE_VOLUME,SIMPLE,geometry,185
MISMATCH_OF_ARCWISE_CONNECTED_CURVES,SIMPLE,geometry,185
MISMATCH_OF_POINTS,SIMPLE,geometry,185
MULTIPLY_DEFINED_CARTESIAN_POINTS,SIMPLE,geometry,185
MULTIPLY_DEFINED_CURVES,SIMPLE,geometry,185
MULTIPLY_DEFINED_DIRECTIONS,SIMPLE,geometry,185
ONE_DIRECTION_REPEAT_FACTOR,SIMPLE,geometry,185
OUTER_BOUNDARY_CURVE,SIMPLE,geometry,185
PARABOLA,SIMPLE,geometry,185
PARTLY_OVERLAPPING_CURVES,SIMPLE,geometry,185
PLANE_ANGLE_AND_LENGTH_PAIR,SIMPLE,geometry,185
PLANE_ANGLE_AND_RATIO_PAIR,SIMPLE,geometry,185
PLANE_ANGLE_MEASURE_WITH_UNIT,SIMPLE,geometry,185
PLANE_ANGLE_UNIT,SIMPLE,geometry,185
POINT_AND_VECTOR,SIMPLE,geometry,185
POINT_ARRAY,SIMPLE,geometry,185
POINT_CLOUD_DATASET,SIMPLE,geometry,185
POINT_CLOUD_DATASET_WITH_COLOURS,SIMPLE,geometry,185
POINT_CLOUD_DATASET_WITH_INTENSITIES,SIMPLE,geometry,185
POINT_CLOUD_DATASET_WITH_NORMALS,SIMPLE,geometry,185
POINT_CLOUD_SUPERDATASET,SIMPLE,geometry,185
POINT_DISTANCE_GEOMETRIC_CONSTRAINT,SIMPLE,geometry,185
POINT_IN_VOLUME,SIMPLE,geometry,185
POINT_ON_CURVE,SIMPLE,geometry,185
POINT_PATH,SIMPLE,geometry,185
POINT_TO_POINT_PATH,SIMPLE,geometry,185
POLAR_POINT,SIMPLE,geometry,185
POSITIVE_PLANE_ANGLE_MEASURE_WITH_UNIT,SIMPLE,geometry,185
PRE_DEFINED_POINT_MARKER_SYMBOL,SIMPLE,geometry,185
QUASI_UNIFORM_VOLUME,SIMPLE,geometry,185
RATIONALIZE_FUNCTION,SIMPLE,geometry,185
RATIONAL_LOCALLY_REFINED_SPLINE_CURVE,SIMPLE,geometry,185
RATIONAL_LOCALLY_REFINED_SPLINE_VOLUME,SIMPLE,geometry,185
ROTATION_ABOUT_DIRECTION,SIMPLE,geometry,185
RUNOUT_ZONE_ORIENTATION_REFERENCE_DIRECTION,SIMPLE,geometry,185
SELF_INTERSECTING_CURVE,SIMPLE,geometry,185
SHORT_LENGTH_CURVE,SIMPLE,geometry,185
SKEW_LINE_DISTANCE_GEOMETRIC_CONSTRAINT,SIMPLE,geometry,185
SOLID_WITH_CURVED_SLOT,SIMPLE,geometry,185
SPHERICAL_POINT,SIMPLE,geometry,185
TEXT_LITERAL_WITH_ASSOCIATED_CURVES,SIMPLE,geometry,185
TEXT_LITERAL_WITH_DELINEATION,SIMPLE,geometry,185
TRANSFORMATION_WITH_DERIVED_ANGLE,SIMPLE,geometry,185
TWO_DIRECTION_REPEAT_FACTOR,SIMPLE,geometry,185
UNIFORM_PRODUCT_SPACE,SIMPLE,geometry,185
UNIFORM_RESOURCE_IDENTIFIER,SIMPLE,geometry,185
UNIFORM_VOLUME,SIMPLE,geometry,185
VECTOR_STYLE,SIMPLE,geometry,185
AREA_WITH_OUTER_BOUNDARY,SIMPLE,topology,180
BOUND_PARAMETER_ENVIRONMENT,SIMPLE,topology,180
BOUND_VARIABLE_SEMANTICS,SIMPLE,topology,180
BOUND_VARIATIONAL_PARAMETER,SIMPLE,topology,180
CIRCULAR_CLOSED_PROFILE,SIMPLE,topology,180
CLOSED_PATH_PROFILE,SIMPLE,topology,180
CONNECTED_VOLUME_SET,SIMPLE,topology,180
CONNECTED_VOLUME_SUB_SET,SIMPLE,topology,180
DIFFERENT_BOUNDING_BOX,SIMPLE,topology,180
NGON_CLOSED_PROFILE,SIMPLE,topology,180
OPEN_PATH_PROFILE,SIMPLE,topology,180
ORIENTED_JOINT,SIMPLE,topology,180
ORIENTED_TOLERANCE_ZONE,SIMPLE,topology,180
PRIMITIVE_2D_WITH_INNER_BOUNDARY,SIMPLE,topology,180
RECTANGULAR_CLOSED_PROFILE,SIMPLE,topology,180
TIME_INTERVAL_WITH_BOUNDS,SIMPLE,topology,180
UNBOUND_PARAMETER_ENVIRONMENT,SIMPLE,topology,180
UNBOUND_VARIATIONAL_PARAMETER,SIMPLE,topology,180
UNBOUND_VARIATIONAL_PARAMETER_SEMANTICS,SIMPLE,topology,180
VOLUME_WITH_PARAMETRIC_BOUNDARY,SIMPLE,topology,180
WRONGLY_ORIENTED_VOID,SIMPLE,topology,180
A3M_EQUIVALENCE_CRITERION_REPORT_ITEM_WITH_MEASURED_VALUE,SIMPLE,product,175
ANALYSIS_MODEL,SIMPLE,product,175
ATTACHMENT_SLOT_ON_PRODUCT,SIMPLE,product,175
CHAIN_BASED_GEOMETRIC_ITEM_SPECIFIC_USAGE,SIMPLE,product,175
CHARACTERIZED_PRODUCT_CONCEPT_FEATURE,SIMPLE,product,175
CHARACTERIZED_PRODUCT_CONCEPT_FEATURE_CATEGORY,SIMPLE,product,175
COMPONENT_FEATURE,SIMPLE,product,175
COMPONENT_FEATURE_JOINT,SIMPLE,product,175
COMPONENT_MATING_CONSTRAINT_CONDITION,SIMPLE,product,175
COMPONENT_TERMINAL,SIMPLE,product,175
COMPOSITE_UNIT_SHAPE_ASPECT,SIMPLE,product,175
CONFIGURATION_ITEM_REVISION_SEQUENCE,SIMPLE,product,175
CRITERION_REPORT_ITEM_WITH_NUMBER_OF_INSTANCES,SIMPLE,product,175
CRITERION_REPORT_ITEM_WITH_VALUE,SIMPLE,product,175
DEFAULT_MODEL_GEOMETRIC_VIEW,SIMPLE,product,175
DIFFERENT_COMPONENT_IDENTIFICATION_VIA_MULTI_LEVEL_REFERENCE,SIMPLE,product,175
